subject_id,thing_id,step_function,cloud_watch_rule,cron_expression,schedule,status,input,description
77103,DSS2-77103-355592070223380,Create_Daily_SI_Params,DSS2_77103_Daily_SIParams_Schedule,20 16 * * ? *,Every day 16:20 GMT,ENABLED,"{""thing_id"":""DSS2-77103-355592070223380"", ""subject_id"": ""77103"", ""request_length"": 2660, ""request_interval"": 5 }",thing_id:DSS2-77103-355592070223380 ; Schedule: 16:20 GMT - 11:20 EST - 12:20 EDT ; Dynamo DB data-type 'dailysiparams'
77103,DSS2-77103-355592070223380,Create_Daily_BasalCrCf_Profile,DSS2_77103_Profile_Parameter_Schedule,0 14 ? Jan-June FRI 2021,Every Friday 14:00 GMT,ENABLED,"{""thing_id"":""DSS2-77103-355592070223380"", ""subject_id"": ""77103"", ""request_length"": 41400, ""request_interval"": 5 }",thing_id:DSS2-77103-355592070223380 ; Schedule: Every FRIDAY 14:00 GMT - 09:00 EST - 10:00 EDT ; Dynamo DB data-type 'profile'
77104,DSS2-77104-353626070750620,Calculate_Engagement_Metric,DSS2_77104_Engagement_Metric_Schedule,36 5 * * ? *,Every day 5:36 GMT,ENABLED,"{""thing_id"":""DSS2-77104-353626070750620"", ""subject_id"":""77104""}",thing_id:DSS2-77104-353626070750620 ; Schedule: 05:36 GMT -  00:36 EST - 01:36 EDT ; Dynamo DB data-type 'engagement_metric'
77104,DSS2-77104-353626070750620,PredictAdvisoryParams,DSS2_77104_Advisory_Parameter_Schedule,15 7 * * ? *,Every day 7:15 GMT,ENABLED,"{""thing_id"":""DSS2-77104-353626070750620"", ""subject_id"":""77104""}",thing_id:DSS2-77104-353626070750620 ; Schedule: 07:15 GMT - 02:15 EST - 3:15 EDT  ; Dynamo DB data-type 'advisory'
77104,DSS2-77104-353626070750620,Create_Daily_Basal_Profile,DSS2_77104_Daily_Basal_Schedule,30 16 * * ? *,Every day 16:30 GMT,ENABLED,"{""thing_id"":""DSS2-77104-353626070750620"", ""subject_id"": ""77104"", ""request_length"": 2670, ""request_interval"": 5 }",thing_id:DSS2-77104-353626070750620 ; Schedule: 16:30 GMT - 11:30 EST - 12:30 EDT ; Dynamo DB data-type 'dailyoptbasal'
77104,DSS2-77104-353626070750620,Create_Daily_SI_Params,DSS2_77104_Daily_SIParams_Schedule,50 16 * * ? *,Every day 16:50 GMT,ENABLED,"{""thing_id"":""DSS2-77104-353626070750620"", ""subject_id"": ""77104"", ""request_length"": 2690, ""request_interval"": 5 }",thing_id:DSS2-77104-353626070750620 ; Schedule: 16:50 GMT - 11:50 EST - 12:50 EDT ; Dynamo DB data-type 'dailysiparams'
77104,DSS2-77104-353626070750620,Create_Daily_BasalCrCf_Profile,DSS2_77104_Profile_Parameter_Schedule,30 13 ? Jan-June TUE 2021,Every Tuesday 13:30 GMT,ENABLED,"{""thing_id"":""DSS2-77104-353626070750620"", ""subject_id"": ""77104"", ""request_length"": 41370, ""request_interval"": 5 }",thing_id:DSS2-77104-353626070750620 ; Schedule: Every TUESDAY 13:30 GMT - 08:30 EST - 09:30 EDT ; Dynamo DB data-type 'profile'
77105,DSS2-77105-353626070751248,Calculate_Engagement_Metric,DSS2_77105_Engagement_Metric_Schedule,38 5 * * ? *,Every day 5:38 GMT,ENABLED,"{""thing_id"":""DSS2-77105-353626070751248"", ""subject_id"":""77105""}",thing_id:DSS2-77105-353626070751248 ; Schedule: 05:38 GMT -  00:38 EST - 01:38 EDT ; Dynamo DB data-type 'engagement_metric'
77105,DSS2-77105-353626070751248,PredictAdvisoryParams,DSS2_77105_Advisory_Parameter_Schedule,30 7 * * ? *,Every day 7:30 GMT,ENABLED,"{""thing_id"":""DSS2-77105-353626070751248"", ""subject_id"":""77105""}",thing_id:DSS2-77105-353626070751248 ; Schedule: 07:30 GMT - 02:30 EST - 3:30 EDT  ; Dynamo DB data-type 'advisory'
77105,DSS2-77105-353626070751248,Create_Daily_Basal_Profile,DSS2_77105_Daily_Basal_Schedule,00 17 * * ? *,Every day 17:00 GMT,ENABLED,"{""thing_id"":""DSS2-77105-353626070751248"", ""subject_id"": ""77105"", ""request_length"": 2700, ""request_interval"": 5 }",thing_id:DSS2-77105-353626070751248 ; Schedule: 17:00 GMT - 12:00 EST - 13:00 EDT ; Dynamo DB data-type 'dailyoptbasal'
77105,DSS2-77105-353626070751248,Create_Daily_SI_Params,DSS2_77105_Daily_SIParams_Schedule,20 17 * * ? *,Every day 17:20 GMT,ENABLED,"{""thing_id"":""DSS2-77105-353626070751248"", ""subject_id"": ""77105"", ""request_length"": 2720, ""request_interval"": 5 }",thing_id:DSS2-77105-353626070751248 ; Schedule: 17:20 GMT - 12:20 EST - 13:20 EDT ; Dynamo DB data-type 'dailysiparams'
