Brand Name,Meal Type,item_name,Calories,Protein_values,Total Fat_values,Total Carbohydrate_values,carbs_calories,protein_calories,fat_calories,f_c_p,pct_fat,pct_carbs,pct_protein,Source URL
Kroger,Fish,Oven Ready Breaded Calamari Rings,200,7.0,11.0,19.0,76.0,28.0,99.0,203.0,0.4876847290640394,0.37438423645320196,0.13793103448275862,https://www.calorieking.com/us/en/foods/f/calories-in-fish-oven-ready-breaded-calamari-rings/i6-eJrRURm2_Pe5OM6pEZQ
Kroger,Fish,Raw Flounder Fillets,90,19.0,1.5,0.0,0.0,76.0,13.5,89.5,0.15083798882681565,0.0,0.8491620111731844,https://www.calorieking.com/us/en/foods/f/calories-in-fish-raw-flounder-fillets/j8sCLPj0TaK0IlxGEKsQRQ
Kroger,Frozen Meals,"Homestyle, Mashed Potatoes",280,6.0,14.0,36.0,144.0,24.0,126.0,294.0,0.42857142857142855,0.4897959183673469,0.08163265306122448,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-homestyle-mashed-potatoes/5NvBqirqTPefgaDkvhHUhw
Kroger,Cheese,"Cheddar Mild, shredded",110,7.0,9.0,0.5,2.0,28.0,81.0,111.0,0.7297297297297297,0.018018018018018018,0.25225225225225223,https://www.calorieking.com/us/en/foods/f/calories-in-cheese-cheddar-mild-shredded/6QdLObr9TriLsCSataGnRw
Kroger,Fish,Cooked Cocktail Shrimp Tail-On,80,18.0,1.0,0.0,0.0,72.0,9.0,81.0,0.1111111111111111,0.0,0.8888888888888888,https://www.calorieking.com/us/en/foods/f/calories-in-fish-cooked-cocktail-shrimp-tail-on/8TZKqmNXS9mdZZkMyEKD2A
Kroger,Cream,"Sour Cream, Original",60,1.0,5.0,2.0,8.0,4.0,45.0,57.0,0.7894736842105263,0.14035087719298245,0.07017543859649122,https://www.calorieking.com/us/en/foods/f/calories-in-cream-sour-cream-original/vVF3NlkFROKnDkF963n6hA
Kroger,Deli & Luncheon Meat,Oven Roasted Cured Chicken Breast,80,9.0,4.0,1.0,4.0,36.0,36.0,76.0,0.47368421052631576,0.05263157894736842,0.47368421052631576,https://www.calorieking.com/us/en/foods/f/calories-in-deli-luncheon-meat-oven-roasted-cured-chicken-breast/0GD2KJ5BRl69W534gaM8Rg
Kroger,Cakes,Patriotic Cupcakes,260,2.0,11.0,40.0,160.0,8.0,99.0,267.0,0.3707865168539326,0.599250936329588,0.0299625468164794,https://www.calorieking.com/us/en/foods/f/calories-in-cakes-patriotic-cupcakes/kdCgz3d2Rs2CZErvK_Vi6g
Kroger,Eggs,"Break-Free, 100% Liquid Egg Whites",25,5.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,1.0,https://www.calorieking.com/us/en/foods/f/calories-in-eggs-break-free-100-liquid-egg-whites/42XF04YuTmu-NY_pcxguSg
Kroger,Nut Spreads,Peanut Butter Creamy Natural,200,8.0,16.0,6.0,24.0,32.0,144.0,200.0,0.72,0.12,0.16,https://www.calorieking.com/us/en/foods/f/calories-in-nut-spreads-peanut-butter-creamy-natural/ksBvsiFvSn6xpnGGRQ6HdA
Kroger,"Franks, Wieners & Sausages",Polska Kielbasa Sausage,180,6.0,17.0,2.0,8.0,24.0,153.0,185.0,0.827027027027027,0.043243243243243246,0.12972972972972974,https://www.calorieking.com/us/en/foods/f/calories-in-franks-wieners-sausages-polska-kielbasa-sausage/1FrZE1QNSHSAfFvZYa3IIQ
Kroger,"Breakfast Cereals, To Be Cooked","100% Whole Grain Oats, Old Fashioned",150,6.0,2.5,27.0,108.0,24.0,22.5,154.5,0.14563106796116504,0.6990291262135923,0.1553398058252427,https://www.calorieking.com/us/en/foods/f/calories-in-breakfast-cereals-to-be-cooked-100-whole-grain-oats-old-fashioned/2rr7eBxVQ9SldTK94aV_zQ
Kroger,Fish,Cooked Sea Scallops,100,19.0,1.0,3.0,12.0,76.0,9.0,97.0,0.09278350515463918,0.12371134020618557,0.7835051546391752,https://www.calorieking.com/us/en/foods/f/calories-in-fish-cooked-sea-scallops/GbsmoqRsT9u5Y3-QYhezCw
Kroger,Deli & Luncheon Meat,Honey Turkey Breast & White Turkey,35,5.0,0.5,2.0,8.0,20.0,4.5,32.5,0.13846153846153847,0.24615384615384617,0.6153846153846154,https://www.calorieking.com/us/en/foods/f/calories-in-deli-luncheon-meat-honey-turkey-breast-white-turkey/pPpHRvpHRBC0SOlaeRvjZg
Kroger,Fish,Broiled Cod Fillets,90,19.0,1.0,0.0,0.0,76.0,9.0,85.0,0.10588235294117647,0.0,0.8941176470588236,https://www.calorieking.com/us/en/foods/f/calories-in-fish-broiled-cod-fillets/hV77T2U6RWOH31mCFwTzeQ
Kroger,Cream,"Sour Cream, Fat-Free",20,1.0,0.0,3.0,12.0,4.0,0.0,16.0,0.0,0.75,0.25,https://www.calorieking.com/us/en/foods/f/calories-in-cream-sour-cream-fat-free/hsUd_gUoRISspZW4KHb0MA
Kroger,Eggs,Grade A Large Eggs,70,6.0,5.0,0.0,0.0,24.0,45.0,69.0,0.6521739130434783,0.0,0.34782608695652173,https://www.calorieking.com/us/en/foods/f/calories-in-eggs-grade-a-large-eggs/NzbxsA16QQy5x9Y-8G_LzQ
Kroger,Frozen Meals,Swedish Style Meatballs,250,15.0,18.0,7.0,28.0,60.0,162.0,250.0,0.648,0.112,0.24,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-swedish-style-meatballs/B3sKRG16SK6CRVevZdWSyA
Kroger,Cheese,"4 Cheese Mexican Blend, Reduced Fat, Shredded Monterey-Jack, Cheddar, Colby & Mozarella Cheese",320,28.0,20.0,4.0,16.0,112.0,180.0,308.0,0.5844155844155844,0.05194805194805195,0.36363636363636365,https://www.calorieking.com/us/en/foods/f/calories-in-cheese-4-cheese-mexican-blend-reduced-fat-shredded-monterey-jack-cheddar-colby-mozarella-cheese/kg8GdpTmQ6-i3w9ykNT2gg
Kroger,"Breakfast Cereals, To Be Cooked",Maple & Brown Sugar Instant Oatmeal,160,4.0,2.0,32.0,128.0,16.0,18.0,162.0,0.1111111111111111,0.7901234567901234,0.09876543209876543,https://www.calorieking.com/us/en/foods/f/calories-in-breakfast-cereals-to-be-cooked-maple-brown-sugar-instant-oatmeal/Wtwe8VdJSLqBT4ZoeAoPmg
Kroger,"Franks, Wieners & Sausages",Mild Pork Sausage,240,8.0,22.0,2.0,8.0,32.0,198.0,238.0,0.8319327731092437,0.03361344537815126,0.13445378151260504,https://www.calorieking.com/us/en/foods/f/calories-in-franks-wieners-sausages-mild-pork-sausage/BQ4a3J4KT76xTWpTS_MT_w
